Symbol,Date,Adjusted_price
AIZ,2015-10-30,73.5
T,2020-10-30,27.29
T,2020-09-30,28.28
T,2020-07-31,29.34
T,2020-04-30,29.7
T,2019-10-31,36.39
T,2017-10-31,28.26
T,2015-10-30,25.5
ATO,2020-10-30,92.59
ATO,2020-09-30,96.55
ATO,2020-07-31,106.44
ATO,2020-04-30,101.81
ATO,2019-10-31,111.16
ATO,2017-10-31,82.59
ATO,2015-10-30,56.9
ADSK,2020-10-30,237.9
ADSK,2020-09-30,233.32
ADSK,2020-07-31,238.79
ADSK,2020-04-30,189.0
ADSK,2019-10-31,148.83
ADSK,2017-10-31,126.21
ADSK,2015-10-30,55.74
ADP,2020-10-30,159.54
ADP,2020-09-30,140.88
ADP,2020-07-31,133.35
ADP,2020-04-30,146.32
ADP,2019-10-31,159.94
ADP,2017-10-31,109.99
ADP,2015-10-30,78.54
AZO,2020-10-30,1140.27
AZO,2020-09-30,1189.42
AZO,2020-07-31,1219.49
AZO,2020-04-30,1030.52
AZO,2019-10-31,1155.82
AZO,2017-10-31,595.4
AZO,2015-10-30,792.25
AVB,2020-10-30,140.52
AVB,2020-09-30,150.83
AVB,2020-07-31,153.03
AVB,2020-04-30,161.15
AVB,2019-10-31,211.55
AVB,2017-10-31,165.17
AVB,2015-10-30,149.96
AVY,2020-10-30,139.77
AVY,2020-09-30,129.12
AVY,2020-07-31,113.9
AVY,2020-04-30,110.36
AVY,2019-10-31,126.64
AVY,2017-10-31,101.18
AVY,2015-10-30,59.31
BKR,2020-10-30,14.92
BKR,2020-09-30,13.42
BKR,2020-07-31,15.47
BKR,2020-04-30,13.78
BKR,2019-10-31,20.79
BKR,2017-10-31,28.97
BKR,2015-10-30,32.9
BLL,2020-10-30,89.89
BLL,2020-09-30,83.95
BLL,2020-07-31,74.22
BLL,2020-04-30,65.98
BLL,2019-10-31,70.08
BLL,2017-10-31,42.22
BLL,2015-10-30,33.16
BAC,2020-10-30,23.94
BAC,2020-09-30,24.33
BAC,2020-07-31,24.96
BAC,2020-04-30,23.96
BAC,2019-10-31,30.78
BAC,2017-10-31,25.92
BAC,2015-10-30,15.41
BK,2020-10-30,34.7
BK,2020-09-30,34.39
BK,2020-07-31,35.91
BK,2020-04-30,37.28
BK,2019-10-31,45.71
BK,2017-10-31,48.14
BK,2015-10-30,37.6
BAX,2020-10-30,78.35
BAX,2020-09-30,81.22
BAX,2020-07-31,86.99
BAX,2020-04-30,89.17
BAX,2019-10-31,76.64
BAX,2017-10-31,63.09
BAX,2015-10-30,35.77
BDX,2020-10-30,233.44
BDX,2020-09-30,235.01
BDX,2020-07-31,283.19
BDX,2020-04-30,253.37
BDX,2019-10-31,255.22
BDX,2017-10-31,202.79
BDX,2015-10-30,134.11
BRK-B,2020-10-30,203.92
BRK-B,2020-09-30,215.07
BRK-B,2020-07-31,197.74
BRK-B,2020-04-30,189.23
BRK-B,2019-10-31,214.71
BRK-B,2017-10-31,188.81
BRK-B,2015-10-30,137.38
BBY,2020-10-30,112.67
BBY,2020-09-30,112.4
BBY,2020-07-31,100.07
BBY,2020-04-30,76.58
BBY,2019-10-31,70.62
